ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688017.SH,2025-08-27,152.0,159.55,148.61,148.66,151.75,-3.09,-2.0362,100962.26,1560592.613
688017.SH,2025-08-28,147.85,151.15,145.66,150.89,148.66,2.23,1.5001,83434.8,1239212.372
688017.SH,2025-08-29,150.5,153.36,146.02,150.76,150.89,-0.13,-0.0862,71921.11,1076278.2
688017.SH,2025-09-01,151.81,154.69,147.77,151.35,150.76,0.59,0.3914,74560.48,1124842.671
688017.SH,2025-09-02,151.29,165.0,144.17,159.69,151.35,8.34,5.5104,165694.38,2550348.531
688017.SH,2025-09-03,162.0,163.5,152.98,154.45,159.69,-5.24,-3.2814,96510.25,1517453.181
688017.SH,2025-09-04,155.0,156.11,142.0,144.05,154.45,-10.4,-6.7336,107220.54,1584861.016
688017.SH,2025-09-05,143.41,147.42,142.08,147.15,144.05,3.1,2.152,72807.41,1059173.997
688017.SH,2025-09-08,147.65,171.0,147.58,168.7,147.15,21.55,14.6449,179175.43,2953321.142
688017.SH,2025-09-09,167.0,167.0,161.68,162.5,168.7,-6.2,-3.6752,96750.87,1577963.286
688017.SH,2025-09-10,162.49,166.8,160.53,161.48,162.5,-1.02,-0.6277,81414.99,1329375.088
688017.SH,2025-09-11,161.79,166.57,159.69,165.88,161.48,4.4,2.7248,99141.79,1625541.941
688017.SH,2025-09-12,168.8,173.0,163.98,166.03,165.88,0.15,0.0904,102291.14,1721812.798
688017.SH,2025-09-15,165.85,178.0,164.84,171.8,166.03,5.77,3.4753,123406.44,2141262.355
688017.SH,2025-09-16,175.0,182.88,171.38,180.39,171.8,8.59,5.0,132726.73,2354033.141
688017.SH,2025-09-17,180.0,186.69,176.0,179.38,180.39,-1.01,-0.5599,130276.48,2352971.976
688017.SH,2025-09-18,182.87,192.68,174.6,182.19,179.38,2.81,1.5665,169568.02,3133363.941
688017.SH,2025-09-19,177.0,178.0,169.0,169.92,182.19,-12.27,-6.7347,112286.92,1931317.2
688017.SH,2025-09-22,170.98,172.8,169.58,172.39,169.92,2.47,1.4536,66979.29,1147143.017
688017.SH,2025-09-23,172.88,174.68,166.0,170.54,172.39,-1.85,-1.0731,72200.76,1228267.489
688017.SH,2025-09-24,168.99,178.88,167.81,178.02,170.54,7.48,4.3861,88635.05,1546758.042
688017.SH,2025-09-25,178.88,180.86,176.01,177.51,178.02,-0.51,-0.2865,64058.33,1142991.459
688017.SH,2025-09-26,175.0,177.06,171.35,171.79,177.51,-5.72,-3.2224,46316.54,805536.494
688017.SH,2025-09-29,171.71,180.96,171.05,178.7,171.79,6.91,4.0224,67203.19,1192143.492
688017.SH,2025-09-30,179.0,181.88,178.07,180.78,178.7,2.08,1.164,57835.39,1040997.916
688017.SH,2025-10-09,180.4,183.94,172.02,180.12,180.78,-0.66,-0.3651,70537.49,1270288.805
688017.SH,2025-10-10,179.0,185.27,170.42,173.0,180.12,-7.12,-3.9529,71812.72,1266461.774
688017.SH,2025-10-13,160.0,166.5,160.0,164.89,173.0,-8.11,-4.6879,71095.24,1162133.236
688017.SH,2025-10-14,167.86,167.86,152.2,153.27,164.89,-11.62,-7.0471,71406.27,1133593.181
688017.SH,2025-10-15,153.99,162.82,151.8,160.95,153.27,7.68,5.0108,58419.72,920745.727
688017.SH,2025-10-16,157.09,158.64,156.0,156.65,160.95,-4.3,-2.6716,32039.68,503735.233
688017.SH,2025-10-17,156.0,158.26,151.95,152.6,156.65,-4.05,-2.5854,38358.29,594035.849
688017.SH,2025-10-20,155.65,159.36,152.99,155.68,152.6,3.08,2.0183,46288.59,723100.866
688017.SH,2025-10-21,156.92,157.81,153.58,156.4,155.68,0.72,0.4625,46831.13,730019.68
688017.SH,2025-10-22,154.0,157.77,153.0,155.7,156.4,-0.7,-0.4476,32879.98,511193.053
688017.SH,2025-10-23,155.0,155.0,150.6,154.51,155.7,-1.19,-0.7643,31369.12,478484.282
688017.SH,2025-10-24,156.1,160.0,156.1,159.5,154.51,4.99,3.2296,41505.64,656575.591
688017.SH,2025-10-27,161.95,162.88,157.26,160.36,159.5,0.86,0.5392,47831.18,764904.851
688017.SH,2025-10-28,160.2,163.0,157.7,159.92,160.36,-0.44,-0.2744,52576.21,843389.632
