Model,Portfolio,Observations,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio_RF0,Max_Drawdown,Positive_Quarter_Rate,Average_Quarterly_Return
Ridge,Strategy,3,-0.021113497071425402,-0.028051798335843148,0.1168420390639538,-0.20414714158994568,-0.05097727382671502,0.3333333333333333,-0.005963242073111735
Decision Tree,Strategy,3,-0.05868464255111483,-0.07747064941255866,0.14975600788877522,-0.48361864719095676,-0.061430529936840284,0.3333333333333333,-0.01810619948597193
Random Forest,Strategy,3,0.005237488243249988,0.0069894064189297556,0.11590738552620411,0.0979306286822202,-0.038439505580479594,0.3333333333333333,0.0028377207833734097
Equal Weight,Benchmark,3,-0.15910261296587425,-0.2062982510309077,0.11413757297980166,-1.9275428364929708,-0.15910261296587425,0.3333333333333333,-0.05500126529297759
