Model,Date,Selected_Count,Universe_Count,Gross_Return,Turnover,Transaction_Cost,Strategy_Return,Benchmark_Return,Excess_Return,Strategy_NAV,Benchmark_NAV
Ridge,2021-12-31,835,4173,-0.025968502994011978,1.0,0.001,-0.02696850299401198,-0.08374728013419602,0.05677877714018405,0.973031497005988,0.9162527198658039
Ridge,2022-03-31,846,4228,0.060738652482269506,0.682601880877743,0.000682601880877743,0.06005605060139176,0.010724408703878904,0.04933164189751286,1.0314679258269277,0.9260789885096855
Ridge,2022-06-30,853,4262,-0.05046893317702227,0.508340649692713,0.000508340649692713,-0.050977273826714985,-0.09198092444861566,0.04100365062190068,0.9788865029285746,0.8408973870341258
Decision Tree,2021-12-31,835,4173,-0.060243473053892216,1.0,0.001,-0.06124347305389222,-0.08374728013419602,0.022503807080303806,0.9387565269461078,0.9162527198658039
Decision Tree,2022-03-31,846,4228,0.06909054373522458,0.7351392024078254,0.0007351392024078254,0.06835540453281676,0.010724408703878904,0.05763099582893785,1.0029256091033312,0.9260789885096855
Decision Tree,2022-06-30,853,4262,-0.06082543962485346,0.6050903119868637,0.0006050903119868637,-0.061430529936840325,-0.09198092444861566,0.03055039451177534,0.9413153574488852,0.8408973870341258
Random Forest,2021-12-31,835,4173,-0.02113916167664671,1.0,0.001,-0.022139161676646712,-0.08374728013419602,0.06160811845754931,0.9778608383233532,0.9162527198658039
Random Forest,2022-03-31,846,4228,0.0698612293144208,0.7693997071742313,0.0007693997071742313,0.06909182960724658,0.010724408703878904,0.058367420903367676,1.0454230327443899,0.9260789885096855
Random Forest,2022-06-30,853,4262,-0.03784712778429074,0.5923777961888981,0.0005923777961888981,-0.038439505580479635,-0.09198092444861566,0.05354141886813603,1.00523748824325,0.8408973870341258
