Model,MAE,RMSE,R2,Rank_IC,Directional_Accuracy
Ridge,0.18656555562657304,0.23761663945070646,-0.3262072564074574,0.14833707204249563,0.3075100687040986
Decision Tree,0.1913902963632881,0.24202746756790308,-0.37590045459790655,0.17158947689072956,0.29819158177367133
Random Forest,0.18820539931646313,0.23749851289135035,-0.32488898711266967,0.246624524875525,0.30790491984521834
