ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma120,macd_diff,macd_dea,macd_hist,rsi14,daily_return,volatility20,drawdown,volume_ma20
688017.SH,2025-07-22,133.0,133.6,130.0,130.4,134.67,-4.27,-3.1707,59281.27,778161.76,129.87199999999999,,,,1.6705058581512304,0.264752873269905,2.811505969762651,47.543610010622515,-0.03170713596198105,,-0.03170713596198105,
688017.SH,2025-07-23,128.8,130.75,128.03,128.8,130.4,-1.6,-1.227,42124.08,544561.596,130.35399999999998,,,,1.7240793626315138,0.5566181711422268,2.334922382978574,45.04294492026069,-0.012269938650306678,,-0.04358802999925726,
688017.SH,2025-07-24,128.88,131.67,128.88,130.29,128.8,1.49,1.1568,38988.43,509077.837,130.60999999999999,,,,1.8652656768239808,0.8183476722785776,2.0938360090908064,47.79662165258288,0.011568322981366341,,-0.0325239474270439,
688017.SH,2025-07-25,130.8,130.87,128.3,130.45,130.29,0.16,0.1228,32765.0,424467.33,130.922,124.4005,,,1.9673886788058326,1.0481558735840286,1.838465610443608,48.09736587943924,0.0012280297797220285,,-0.03133585802331629,41918.8315
688017.SH,2025-07-28,132.35,133.88,129.66,129.83,130.45,-0.62,-0.4753,38738.11,507822.732,129.954,124.64750000000001,,,1.9755205045317155,1.233628799773566,1.483783409516299,46.96819682507112,-0.004752778842468164,0.32987660274061437,-0.035939704462760624,42471.515999999996
688017.SH,2025-07-29,129.0,131.68,128.33,130.4,129.83,0.57,0.439,34905.6,453603.549,129.954,125.01049999999998,,,2.0048486243507853,1.3878727646890099,1.2339517193235507,48.17285223003377,0.00439035662019549,0.3243423518928139,-0.03170713596198105,43094.6205
688017.SH,2025-07-30,129.99,130.2,126.54,127.8,130.4,-2.6,-1.9939,38541.86,495303.217,129.754,125.398,,,1.7975718108261134,1.4698125739164307,0.6555184738193653,43.33704570320095,-0.019938650306748573,0.3188767010877812,-0.05101358877255502,43750.436499999996
688017.SH,2025-07-31,127.75,134.48,127.38,129.66,127.8,1.86,1.4554,68720.4,905182.424,129.62800000000001,125.876,,,1.7630663664882462,1.528463332430794,0.4692060681149046,47.4046455478724,0.014553990610328693,0.32110813517512576,-0.03720204945422134,46299.9875
688017.SH,2025-08-01,129.4,131.44,126.17,127.51,129.66,-2.15,-1.6582,40985.44,525241.406,129.04000000000002,126.29850000000002,,,1.5444302905370648,1.5316567240520482,0.025547132970033193,43.51600150904619,-0.016581829399969106,0.32644769658685213,-0.05316700081681136,47145.55500000001
688017.SH,2025-08-04,127.6,134.22,127.15,133.98,127.51,6.47,5.0741,71890.35,948221.199,129.87000000000003,127.2415,,,1.8716592305691933,1.5996572253554773,0.544004010427432,55.378409071026084,0.05074111834365924,0.33682102431325145,-0.005123635553575423,48596.984500000006
688017.SH,2025-08-05,133.98,134.58,132.04,133.99,133.98,0.01,0.0075,43613.84,581716.372,130.58800000000002,128.0015,,,2.1075034516135105,1.701226470607084,0.8125539620128528,55.394001762079036,7.463800567264478e-05,0.32542398533552197,-0.0050493799658423155,49010.509999999995
688017.SH,2025-08-06,134.63,142.0,133.07,140.13,133.99,6.14,4.5824,104098.28,1440425.788,133.054,129.1035,,,2.758065123923302,1.9125942012703279,1.6909418453059484,63.766254147964794,0.04582431524740649,0.35066014932835543,0.0,51772.9995
688017.SH,2025-08-07,141.5,141.5,136.54,138.6,140.13,-1.53,-1.0918,60933.37,841816.314,134.84199999999998,130.0905,,,3.1142822162010475,2.152931804256472,1.9227008238891514,60.708474994435214,-0.010918432883750828,0.3575737038892618,-0.010918432883750828,53381.187
688017.SH,2025-08-08,138.52,138.57,133.8,134.2,138.6,-4.4,-3.1746,45184.26,611307.114,136.18,130.70600000000002,,,3.006882135037472,2.323721870412672,1.3663205292495997,52.858378813811846,-0.031746031746031744,0.377497497221818,-0.042317847712838086,52963.744999999995
688017.SH,2025-08-11,134.55,138.48,134.21,137.0,134.2,2.8,2.0864,47218.94,644742.638,136.78400000000002,131.32,,,3.111832132586926,2.481343922847523,1.2609764194788058,56.695850677154276,0.02086438152011927,0.376088305039166,-0.02233640191250974,52597.8375
688017.SH,2025-08-12,136.11,137.5,134.3,137.11,137.0,0.11,0.0803,37341.7,507117.359,137.40800000000002,131.95549999999997,,,3.167370368472291,2.6185492119724767,1.0976423129996284,56.844477231505394,0.0008029197080292594,0.3753824611469688,-0.021551416541782498,52435.0805
688017.SH,2025-08-13,137.59,138.79,135.28,138.51,137.11,1.4,1.0211,50319.85,690739.707,137.084,132.5615,,,3.286468754211853,2.752133120420352,1.0686712675830021,58.78339396562718,0.0102107796659614,0.3737208822325102,-0.011560693641618491,52065.361
688017.SH,2025-08-14,138.3,140.7,134.5,137.64,138.51,-0.87,-0.6281,71724.48,989427.85,136.892,132.993,,,3.272925110512517,2.8562915184387854,0.8332671841474637,57.067511208046525,-0.0062811349361057145,0.370785598048665,-0.01776921430100631,52462.127
688017.SH,2025-08-15,137.52,149.47,137.02,148.31,137.64,10.67,7.7521,118812.37,1718336.978,139.714,133.964,,,4.076183792964457,3.10026997334392,1.951827639241074,69.0137625476648,0.07752106945655335,0.453666147323863,0.0,56431.347499999996
688017.SH,2025-08-18,149.66,151.77,145.51,147.46,148.31,-0.85,-0.5731,97263.52,1439180.737,141.80599999999998,134.6035,,,4.591259013769104,3.3984677814289572,2.3855824646802937,67.40469266901894,-0.00573123862180569,0.43340084155314174,-0.00573123862180569,57172.557499999995
688017.SH,2025-08-19,147.48,154.44,145.68,151.18,147.46,3.72,2.5227,99141.61,1486591.184,144.61999999999998,135.6425,,,5.23923807264714,3.766621839672594,2.9452324659490925,70.63187911228745,0.025227180252271886,0.41641842860750655,0.0,59165.5745
688017.SH,2025-08-20,150.7,150.7,145.47,149.01,151.18,-2.17,-1.4354,74628.5,1104513.594,146.71999999999997,136.653,,,5.51410214358981,4.116117900456037,2.7959684862675456,66.4960166859675,-0.01435375049609744,0.4178098262999131,-0.01435375049609744,60790.79549999999
688017.SH,2025-08-21,149.88,150.86,145.08,145.96,149.01,-3.05,-2.0468,58885.4,867932.321,148.384,137.4365,,,5.423307872748978,4.377555894914625,2.0915039556687063,61.08218583687041,-0.020468424937923557,0.4291324218513705,-0.03452837676941389,61785.64399999999
688017.SH,2025-08-22,146.66,150.21,146.21,150.01,145.96,4.05,2.7747,70469.08,1048704.135,148.724,138.41450000000003,,,5.613445605021866,4.624733836936073,1.9774235361715853,65.14070431259822,0.027747328035077956,0.43547163832776825,-0.007739118931075595,63670.848
688017.SH,2025-08-25,152.0,159.5,151.55,154.7,150.01,4.69,3.1265,104707.24,1626131.599,150.172,139.658,,,6.072574077828023,4.9143018851144635,2.316544385427118,69.15252252889833,0.03126458236117591,0.4409182862994748,0.0,66969.3045
688017.SH,2025-08-26,151.98,154.2,151.0,151.75,154.7,-2.95,-1.9069,51492.61,784976.005,150.286,140.7255,,,6.127759359054153,5.156993379902402,1.9415319583035018,64.15145193861854,-0.01906916612798959,0.45200836006761325,-0.01906916612798959,67798.655
688017.SH,2025-08-27,152.0,159.55,148.61,148.66,151.75,-3.09,-2.0362,100962.26,1560592.613,150.216,141.7685,,,5.854667948515612,5.296528293625044,1.1162793097811363,59.312798473541626,-0.020362438220757895,0.45235798834956503,-0.0390433096315449,70919.675
688017.SH,2025-08-28,147.85,151.15,145.66,150.89,148.66,2.23,1.5001,83434.8,1239212.372,151.202,142.83,,,5.751879316914,5.387598498282835,0.7285616372623291,61.565826739398325,0.015000672675904658,0.45244703966330396,-0.024628312863607005,71655.39499999999
688017.SH,2025-08-29,150.5,153.36,146.02,150.76,150.89,-0.13,-0.0862,71921.11,1076278.2,151.352,143.9925,,,5.595428060623135,5.429164410750896,0.3325272997444788,61.35253966469924,-0.000861554775001605,0.44449560779447433,-0.025468648998060783,73202.17850000001
688017.SH,2025-09-01,151.81,154.69,147.77,151.35,150.76,0.59,0.3914,74560.48,1124842.671,150.682,144.861,,,5.45615225514598,5.434561979629913,0.04318055103213503,61.99603743486467,0.003913504908463761,0.41602442485186436,-0.021654815772462754,73335.685
688017.SH,2025-09-02,151.29,165.0,144.17,159.69,151.35,8.34,5.5104,165694.38,2550348.531,152.26999999999998,146.14600000000002,,,5.950153806351665,5.537680344974263,0.824946922754803,69.68097071127964,0.05510406342913776,0.449389248390711,0.0,79439.712
