stock_name,ts_code,trade_date,action,close,short_ma,long_ma,short_window,long_window
三一重工,600031.SH,2025-01-22,BUY,16.1,15.838,15.636666666666667,5,15
三一重工,600031.SH,2025-03-24,SELL,19.96,19.864,19.966,5,15
三一重工,600031.SH,2025-04-15,BUY,18.96,19.076,19.049333333333333,5,15
三一重工,600031.SH,2025-04-30,SELL,18.89,19.054000000000002,19.09733333333333,5,15
三一重工,600031.SH,2025-05-06,BUY,19.68,19.18,19.136000000000003,5,15
三一重工,600031.SH,2025-05-20,SELL,18.98,19.247999999999998,19.392,5,15
三一重工,600031.SH,2025-06-27,BUY,17.93,17.902,17.87066666666667,5,15
三一重工,600031.SH,2025-02-20,BUY,17.65,17.153,16.200666666666667,10,30
三一重工,600031.SH,2025-04-07,SELL,18.0,19.177,19.32833333333333,10,30
三一重工,600031.SH,2025-05-06,BUY,19.68,19.172,19.167333333333332,10,30
三一重工,600031.SH,2025-05-26,SELL,18.66,19.181,19.225666666666665,10,30
三一重工,600031.SH,2025-07-08,BUY,19.07,18.154000000000003,18.122666666666664,10,30
三一重工,600031.SH,2025-04-03,BUY,19.1,19.756,17.759166666666665,20,60
三一重工,600031.SH,2025-05-26,SELL,18.66,19.279000000000003,19.309166666666666,20,60
平安银行,000001.SZ,2024-01-22,BUY,9.1,9.208,9.187999999999999,5,15
平安银行,000001.SZ,2024-01-23,SELL,9.16,9.172,9.184666666666665,5,15
平安银行,000001.SZ,2024-01-25,BUY,9.5,9.252,9.219333333333333,5,15
平安银行,000001.SZ,2024-03-07,SELL,10.38,10.392,10.394666666666668,5,15
平安银行,000001.SZ,2024-03-18,BUY,10.54,10.452,10.443333333333333,5,15
平安银行,000001.SZ,2024-03-19,SELL,10.4,10.419999999999998,10.436666666666667,5,15
平安银行,000001.SZ,2024-03-20,BUY,10.45,10.443999999999999,10.434,5,15
平安银行,000001.SZ,2024-03-25,SELL,10.4,10.416,10.422,5,15
平安银行,000001.SZ,2024-03-26,BUY,10.6,10.456,10.433333333333334,5,15
平安银行,000001.SZ,2024-04-10,SELL,10.28,10.424000000000001,10.465333333333332,5,15
平安银行,000001.SZ,2024-04-19,BUY,10.69,10.535999999999998,10.450666666666667,5,15
平安银行,000001.SZ,2024-06-03,SELL,10.98,11.174,11.260666666666667,5,15
平安银行,000001.SZ,2024-07-03,BUY,10.31,10.268,10.189333333333334,5,15
平安银行,000001.SZ,2024-07-09,SELL,10.07,10.108,10.127333333333333,5,15
平安银行,000001.SZ,2024-07-15,BUY,10.33,10.196000000000002,10.175999999999998,5,15
平安银行,000001.SZ,2024-07-26,SELL,10.03,10.132,10.203333333333335,5,15
平安银行,000001.SZ,2024-08-20,BUY,10.34,10.142,10.082666666666665,5,15
平安银行,000001.SZ,2024-09-02,SELL,10.11,10.232000000000001,10.234000000000002,5,15
平安银行,000001.SZ,2024-09-24,BUY,10.37,9.978,9.939333333333334,5,15
平安银行,000001.SZ,2024-10-23,SELL,11.86,11.889999999999999,11.898,5,15
平安银行,000001.SZ,2024-11-08,BUY,11.72,11.658000000000001,11.634666666666668,5,15
平安银行,000001.SZ,2024-11-15,SELL,11.44,11.545999999999998,11.555333333333332,5,15
平安银行,000001.SZ,2024-11-18,BUY,11.75,11.575999999999999,11.562666666666667,5,15
平安银行,000001.SZ,2024-11-22,SELL,11.28,11.588,11.597333333333331,5,15
平安银行,000001.SZ,2024-12-06,BUY,11.66,11.488000000000001,11.462666666666667,5,15
平安银行,000001.SZ,2024-12-19,SELL,11.59,11.58,11.584000000000001,5,15
平安银行,000001.SZ,2024-12-23,BUY,11.73,11.623999999999999,11.622666666666667,5,15
平安银行,000001.SZ,2025-01-03,SELL,11.38,11.658,11.678666666666665,5,15
平安银行,000001.SZ,2025-01-21,BUY,11.33,11.45,11.432666666666668,5,15
平安银行,000001.SZ,2025-01-22,SELL,11.09,11.372,11.392000000000001,5,15
