ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source_file,stock_name,short_ma,long_ma,target_position,trade_signal,position,market_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,running_peak,drawdown,short_window,long_window
600031.SH,2025-01-02,16.48,16.48,15.69,15.77,16.48,-0.71,-4.3083,853894.28,1368558.133,TASK2/三一重工行情数据.csv,三一重工,,,0.0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,5,15
600031.SH,2025-01-03,15.85,16.0,15.55,15.6,15.77,-0.17,-1.078,534033.71,842151.57,TASK2/三一重工行情数据.csv,三一重工,,,0.0,0,0.0,-0.010779961953075401,0.0,0.0,-0.0,100000.0,98922.00380469246,100000.0,0.0,5,15
600031.SH,2025-01-06,15.6,15.71,15.42,15.58,15.6,-0.02,-0.1282,454873.82,707452.833,TASK2/三一重工行情数据.csv,三一重工,,,0.0,0,0.0,-0.0012820512820512775,0.0,0.0,-0.0,100000.0,98795.18072289157,100000.0,0.0,5,15
600031.SH,2025-01-07,15.59,15.64,15.43,15.52,15.58,-0.06,-0.3851,393682.19,611079.078,TASK2/三一重工行情数据.csv,三一重工,,,0.0,0,0.0,-0.0038510911424903815,0.0,0.0,-0.0,100000.0,98414.71147748892,100000.0,0.0,5,15
600031.SH,2025-01-08,15.57,15.71,15.26,15.57,15.52,0.05,0.3222,573354.64,888892.453,TASK2/三一重工行情数据.csv,三一重工,15.607999999999999,,0.0,0,0.0,0.003221649484536071,0.0,0.0,0.0,100000.0,98731.76918199114,100000.0,0.0,5,15
600031.SH,2025-01-09,15.51,15.56,15.32,15.37,15.57,-0.2,-1.2845,357776.55,551312.715,TASK2/三一重工行情数据.csv,三一重工,15.528,,0.0,0,0.0,-0.012845215157353929,0.0,0.0,-0.0,100000.0,97463.53836398225,100000.0,0.0,5,15
600031.SH,2025-01-10,15.42,15.71,15.38,15.44,15.37,0.07,0.4554,467712.6,727772.401,TASK2/三一重工行情数据.csv,三一重工,15.496,,0.0,0,0.0,0.00455432661027988,0.0,0.0,0.0,100000.0,97907.41915028536,100000.0,0.0,5,15
600031.SH,2025-01-13,15.39,15.7,15.23,15.31,15.44,-0.13,-0.842,384318.12,592609.973,TASK2/三一重工行情数据.csv,三一重工,15.442000000000002,,0.0,0,0.0,-0.008419689119170903,0.0,0.0,-0.0,100000.0,97083.0691185796,100000.0,0.0,5,15
600031.SH,2025-01-14,15.31,15.85,15.3,15.8,15.31,0.49,3.2005,590312.54,925532.19,TASK2/三一重工行情数据.csv,三一重工,15.498,,0.0,0,0.0,0.03200522534291306,0.0,0.0,0.0,100000.0,100190.23462270133,100000.0,0.0,5,15
600031.SH,2025-01-15,15.8,15.8,15.38,15.4,15.8,-0.4,-2.5316,543389.11,843185.8,TASK2/三一重工行情数据.csv,三一重工,15.463999999999999,,0.0,0,0.0,-0.025316455696202556,0.0,0.0,-0.0,100000.0,97653.77298668357,100000.0,0.0,5,15
600031.SH,2025-01-16,15.49,15.8,15.44,15.54,15.4,0.14,0.9091,542228.15,847230.101,TASK2/三一重工行情数据.csv,三一重工,15.498000000000001,,0.0,0,0.0,0.009090909090909038,0.0,0.0,0.0,100000.0,98541.53455928978,100000.0,0.0,5,15
600031.SH,2025-01-17,15.49,15.54,15.31,15.42,15.54,-0.12,-0.7722,426413.35,657250.287,TASK2/三一重工行情数据.csv,三一重工,15.494,,0.0,0,0.0,-0.007722007722007707,0.0,0.0,-0.0,100000.0,97780.59606848445,100000.0,0.0,5,15
600031.SH,2025-01-20,15.5,16.06,15.5,15.92,15.42,0.5,3.2425,963356.38,1530045.633,TASK2/三一重工行情数据.csv,三一重工,15.616,,0.0,0,0.0,0.03242542153048,0.0,0.0,0.0,100000.0,100951.17311350665,100000.0,0.0,5,15
600031.SH,2025-01-21,16.05,16.23,15.88,16.21,15.92,0.29,1.8216,629239.09,1016548.149,TASK2/三一重工行情数据.csv,三一重工,15.697999999999999,,0.0,0,0.0,0.01821608040201017,0.0,0.0,0.0,100000.0,102790.10779961955,100000.0,0.0,5,15
600031.SH,2025-01-22,16.21,16.33,16.0,16.1,16.21,-0.11,-0.6786,479082.6,772633.831,TASK2/三一重工行情数据.csv,三一重工,15.838,15.636666666666667,1.0,1,0.0,-0.006785934608266486,0.0,0.0,-0.0,100000.0,102092.58084971466,100000.0,0.0,5,15
600031.SH,2025-01-23,16.21,16.26,16.02,16.07,16.1,-0.03,-0.1863,421624.11,679202.056,TASK2/三一重工行情数据.csv,三一重工,15.943999999999999,15.656666666666666,1.0,0,1.0,-0.0018633540372671176,1.0,0.001,-0.0028633540372671176,99713.66459627329,101902.34622701333,100000.0,-0.0028633540372671185,5,15
600031.SH,2025-01-24,16.06,16.29,16.01,16.2,16.07,0.13,0.809,361406.49,585630.964,TASK2/三一重工行情数据.csv,三一重工,16.1,15.696666666666665,1.0,0,1.0,0.008089607965152457,0.0,0.0,0.008089607965152457,100520.30905162584,102726.69625871911,100520.30905162584,0.0,5,15
600031.SH,2025-01-27,16.29,16.34,16.1,16.1,16.2,-0.1,-0.6173,302234.69,488912.395,TASK2/三一重工行情数据.csv,三一重工,16.136000000000003,15.731333333333335,1.0,0,1.0,-0.006172839506172756,0.0,0.0,-0.006172839506172756,99899.81331673927,102092.5808497147,100520.30905162584,-0.006172839506172756,5,15
600031.SH,2025-02-05,16.1,16.17,15.78,15.81,16.1,-0.29,-1.8012,450016.98,713063.047,TASK2/三一重工行情数据.csv,三一重工,16.056,15.750666666666666,1.0,0,1.0,-0.01801242236024847,0.0,0.0,-0.01801242236024847,98100.37568556817,100253.64616360182,100520.30905162584,-0.024074074074074137,5,15
600031.SH,2025-02-06,15.79,15.87,15.58,15.76,15.81,-0.05,-0.3163,553644.78,869586.767,TASK2/三一重工行情数据.csv,三一重工,15.988,15.763333333333334,1.0,0,1.0,-0.003162555344718543,0.0,0.0,-0.003162555344718543,97790.12781812488,99936.5884590996,100520.30905162584,-0.02716049382716057,5,15
600031.SH,2025-02-07,15.78,16.8,15.64,16.75,15.76,0.99,6.2817,1304535.45,2129487.598,TASK2/三一重工行情数据.csv,三一重工,16.124000000000002,15.855333333333334,1.0,0,1.0,0.06281725888324874,0.0,0.0,0.06281725888324874,103933.03559350202,106214.33100824353,103933.03559350202,0.0,5,15
600031.SH,2025-02-10,16.71,17.05,16.62,16.99,16.75,0.24,1.4328,983276.22,1664804.717,TASK2/三一重工行情数据.csv,三一重工,16.282,15.958666666666666,1.0,0,1.0,0.014328358208955061,0.0,0.0,0.014328358208955061,105422.2253572298,107736.20798985417,105422.2253572298,0.0,5,15
