stock_name,ts_code,source_file,start_date,end_date,entry_window,exit_window,atr_period,atr_stop_multiple,initial_capital,final_equity,cumulative_return,benchmark_return,excess_return_vs_benchmark,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,buy_signals,sell_signals,trade_signals,completed_round_trips,round_trip_win_rate,average_round_trip_return,exposure_ratio,atr_stop_exits,channel_exits,fee_rate
三一重工,600031.SH,TASK2/三一重工行情数据.csv,2025-01-02,2025-07-16,20,10,20,2.0,100000.0,108429.22096890296,0.08429220968902951,0.18642993024730492,-0.10213772055827541,0.171272540262712,0.14878661045525085,-0.11490664447403853,1.136029992310441,3,2,5,2,0.5,0.056036342676859585,0.3798449612403101,0,2,0.001
三一重工,600031.SH,TASK2/三一重工行情数据.csv,2025-01-02,2025-07-16,55,20,20,2.0,100000.0,100000.0,0.0,0.18642993024730492,-0.18642993024730492,0.0,0.0,0.0,,0,0,0,0,,,0.0,0,0,0.001
三一重工,600031.SH,TASK2/三一重工行情数据.csv,2025-01-02,2025-07-16,10,5,20,2.0,100000.0,116716.16358523256,0.16716163585232557,0.18642993024730492,-0.019268294394979346,0.35250735587147464,0.15106081826504192,-0.07526817631793625,2.074196968337752,3,2,5,2,0.5,0.07058099745176549,0.3643410852713178,0,2,0.001
平安银行,000001.SZ,TASK2/平安集团行情数据.csv,2024-01-02,2025-07-17,20,10,20,2.0,100000.0,109149.72918303817,0.0914972918303818,0.36699239956568674,-0.27549510773530494,0.061102377217123305,0.1477352749984748,-0.11879452263043566,0.47575628793642044,6,6,12,6,0.5,0.01619016841126869,0.29838709677419356,6,0,0.001
平安银行,000001.SZ,TASK2/平安集团行情数据.csv,2024-01-02,2025-07-17,55,20,20,2.0,100000.0,106272.36970505021,0.06272369705050207,0.36699239956568674,-0.3042687025151847,0.04207185529921076,0.12264087523026661,-0.09420445777324549,0.3978613299611476,3,3,6,3,0.6666666666666666,0.021118932999559803,0.07526881720430108,3,0,0.001
平安银行,000001.SZ,TASK2/平安集团行情数据.csv,2024-01-02,2025-07-17,10,5,20,2.0,100000.0,105305.05977995582,0.05305059779955812,0.36699239956568674,-0.3139418017661286,0.03563697856610881,0.16312674141300998,-0.20048760494926476,0.29632466637123,10,10,20,10,0.3,0.007172840030880323,0.3548387096774194,1,9,0.001
绿的谐波,688017.SH,TASK1/data/688017.SH_daily_20250629_20260629.csv,2025-06-30,2026-06-29,20,10,20,2.0,100000.0,170394.75232501986,0.7039475232501986,1.8955080470814263,-1.1915605238312277,0.7418891821845217,0.4676378400216925,-0.2007424794071928,1.4175682342868487,5,5,10,5,0.6,0.12779617075452487,0.5,2,3,0.001
绿的谐波,688017.SH,TASK1/data/688017.SH_daily_20250629_20260629.csv,2025-06-30,2026-06-29,55,20,20,2.0,100000.0,118013.37379797449,0.18013373797974497,1.8955080470814263,-1.7153743091016813,0.18823842117070577,0.3886916853596223,-0.1836023237040303,0.6354209334621242,4,4,8,4,0.5,0.05024780210409388,0.2892561983471074,4,0,0.001
绿的谐波,688017.SH,TASK1/data/688017.SH_daily_20250629_20260629.csv,2025-06-30,2026-06-29,10,5,20,2.0,100000.0,153816.07537873817,0.5381607537873816,1.8955080470814263,-1.3573472932940447,0.565773974548593,0.451427373233883,-0.26626603503907864,1.2154143173797918,7,7,14,7,0.5714285714285714,0.08319767030192374,0.48760330578512395,1,6,0.001
