stock_name,ts_code,trade_date,action,signal_reason,close,upper_channel,lower_channel,atr,atr_stop,entry_window,exit_window,atr_period,atr_stop_multiple
三一重工,600031.SH,2025-02-07,BUY,BREAKOUT,16.75,16.48,15.31,0.39899999999999985,15.952,20,10,20,2.0
三一重工,600031.SH,2025-03-26,SELL,LOW_CHANNEL,19.29,20.75,19.53,0.5198179097925225,19.53596503566284,20,10,20,2.0
三一重工,600031.SH,2025-05-06,BUY,BREAKOUT,19.68,19.65,18.8,0.5410865977622777,18.597826804475446,20,10,20,2.0
三一重工,600031.SH,2025-05-20,SELL,LOW_CHANNEL,18.98,20.19,19.07,0.491616113363775,19.01676777327245,20,10,20,2.0
三一重工,600031.SH,2025-07-08,BUY,BREAKOUT,19.07,18.52,17.64,0.3645551707021159,18.340889658595767,20,10,20,2.0
三一重工,600031.SH,2025-02-07,BUY,BREAKOUT,16.75,16.34,15.58,0.39899999999999985,15.952,10,5,20,2.0
三一重工,600031.SH,2025-03-21,SELL,LOW_CHANNEL,19.59,20.75,19.73,0.512989251835571,19.53596503566284,10,5,20,2.0
三一重工,600031.SH,2025-05-06,BUY,BREAKOUT,19.68,19.65,18.88,0.5410865977622777,18.597826804475446,10,5,20,2.0
三一重工,600031.SH,2025-05-15,SELL,LOW_CHANNEL,19.2,20.19,19.33,0.5176044477198134,18.96492089147964,10,5,20,2.0
三一重工,600031.SH,2025-07-02,BUY,BREAKOUT,18.2,18.13,17.64,0.3652179411786174,17.469564117642765,10,5,20,2.0
平安银行,000001.SZ,2024-02-21,BUY,BREAKOUT,10.8,9.88,9.07,0.24550910490229624,10.308981790195409,20,10,20,2.0
平安银行,000001.SZ,2024-03-04,SELL,ATR_STOP,10.33,11.24,9.65,0.24616499142803247,10.407670017143936,20,10,20,2.0
平安银行,000001.SZ,2024-04-18,BUY,BREAKOUT,10.8,10.68,10.04,0.21547194976163614,10.369056100476728,20,10,20,2.0
