ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source_file,stock_name,rsi_14,ema_12,ema_26,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_percent_b,atr_14
600031.SH,2025-01-02,16.48,16.48,15.69,15.77,16.48,-0.71,-4.3083,853894.28,1368558.133,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-03,15.85,16.0,15.55,15.6,15.77,-0.17,-1.078,534033.71,842151.57,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-06,15.6,15.71,15.42,15.58,15.6,-0.02,-0.1282,454873.82,707452.833,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-07,15.59,15.64,15.43,15.52,15.58,-0.06,-0.3851,393682.19,611079.078,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-08,15.57,15.71,15.26,15.57,15.52,0.05,0.3222,573354.64,888892.453,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-09,15.51,15.56,15.32,15.37,15.57,-0.2,-1.2845,357776.55,551312.715,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-10,15.42,15.71,15.38,15.44,15.37,0.07,0.4554,467712.6,727772.401,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-13,15.39,15.7,15.23,15.31,15.44,-0.13,-0.842,384318.12,592609.973,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-14,15.31,15.85,15.3,15.8,15.31,0.49,3.2005,590312.54,925532.19,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-15,15.8,15.8,15.38,15.4,15.8,-0.4,-2.5316,543389.11,843185.8,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-16,15.49,15.8,15.44,15.54,15.4,0.14,0.9091,542228.15,847230.101,三一重工行情数据.csv,三一重工,,,,,,,,,,,,
600031.SH,2025-01-17,15.49,15.54,15.31,15.42,15.54,-0.12,-0.7722,426413.35,657250.287,三一重工行情数据.csv,三一重工,,15.536285047596252,,,,,,,,,,
600031.SH,2025-01-20,15.5,16.06,15.5,15.92,15.42,0.5,3.2425,963356.38,1530045.633,三一重工行情数据.csv,三一重工,,15.595318117196829,,,,,,,,,,
600031.SH,2025-01-21,16.05,16.23,15.88,16.21,15.92,0.29,1.8216,629239.09,1016548.149,三一重工行情数据.csv,三一重工,,15.689884560705009,,,,,,,,,,
600031.SH,2025-01-22,16.21,16.33,16.0,16.1,16.21,-0.11,-0.6786,479082.6,772633.831,三一重工行情数据.csv,三一重工,56.00000000000003,15.752979243673469,,,,,,,,,,0.38428571428571406
600031.SH,2025-01-23,16.21,16.26,16.02,16.07,16.1,-0.03,-0.1863,421624.11,679202.056,三一重工行情数据.csv,三一重工,55.34973735139619,15.801751667723705,,,,,,,,,,0.3739795918367346
600031.SH,2025-01-24,16.06,16.29,16.01,16.2,16.07,0.13,0.809,361406.49,585630.964,三一重工行情数据.csv,三一重工,57.64489902963545,15.863020641920057,,,,,,,,,,0.3672667638483963
600031.SH,2025-01-27,16.29,16.34,16.1,16.1,16.2,-0.1,-0.6173,302234.69,488912.395,三一重工行情数据.csv,三一重工,55.29049456936731,15.899479004701588,,,,,,,,,,0.35817628071636787
600031.SH,2025-02-05,16.1,16.17,15.78,15.81,16.1,-0.29,-1.8012,450016.98,713063.047,三一重工行情数据.csv,三一重工,49.03567190921559,15.885713003978267,,,,,,,,,,0.3604494035223418
600031.SH,2025-02-06,15.79,15.87,15.58,15.76,15.81,-0.05,-0.3163,553644.78,869586.767,三一重工行情数据.csv,三一重工,48.02687090027913,15.866372541827765,,,,,15.7245,16.295515761603827,15.153484238396173,0.07262752540352026,0.531084956306889,0.3554173032707459
600031.SH,2025-02-07,15.78,16.8,15.64,16.75,15.76,0.99,6.2817,1304535.45,2129487.598,三一重工行情数据.csv,三一重工,63.87431787136152,16.002315227700418,,,,,15.773500000000002,16.49901430034149,15.047985699658515,0.09199154282074203,1.172970883923567,0.41288749589426404
600031.SH,2025-02-10,16.71,17.05,16.62,16.99,16.75,0.24,1.4328,983276.22,1664804.717,三一重工行情数据.csv,三一重工,66.53806062304879,16.154266731131123,,,,,15.843,16.735750805096245,14.950249194903753,0.11269971660622938,1.1423965083270595,0.41410981761610227
600031.SH,2025-02-11,16.98,17.06,16.84,16.88,16.99,-0.11,-0.6474,492631.29,833681.769,三一重工行情数据.csv,三一重工,64.20144563138899,16.265918003264797,,,,,15.908000000000001,16.898628083591415,14.91737191640859,0.12454464214123874,0.9905978419651288,0.40024483064352345
600031.SH,2025-02-12,16.84,17.12,16.76,16.99,16.88,0.11,0.6517,507705.32,860584.288,三一重工行情数据.csv,三一重工,65.5059510259926,16.37731523353175,,,,,15.9815,17.060282183760926,14.902717816239075,0.13500387119618623,0.9674252203925428,0.3973701998832717
600031.SH,2025-02-13,17.0,17.2,16.9,16.96,16.99,-0.03,-0.1766,580842.53,990681.003,三一重工行情数据.csv,三一重工,64.81228412785862,16.466959043757633,,,,,16.051,17.192085448158895,14.909914551841101,0.14218247438276707,0.8983049654461213,0.39041518560589517
