model,accuracy,precision,recall,f1,auc
Logistic Regression,0.973684,0.985915,0.972222,0.979021,0.995370
Random Forest,0.938596,0.957746,0.944444,0.951049,0.990741
Decision Tree,0.938596,0.933333,0.972222,0.952381,0.916501
